LastName,FirstName,CurrentEmploymentType,CurrentEmploymentTitle,carid,ccnum
Calixto,Nils,Information Technology,IT Helpdesk,1,9551
Azada,Lars,Engineering,Engineer,2,1415
Balas,Felix,Engineering,Engineer,3,9635
Barranco,Ingrid,Executive,SVP/CFO,4,7688
Baza,Isak,Information Technology,IT Technician,5,6899
Bergen,Linnea,Information Technology,IT Group Manager,6,7253
Orilla,Elsa,Engineering,Drill Technician,7,2540
Alcazar,Lucas,Information Technology,IT Technician,8,7889
Cazar,Gustav,Engineering,Drill Technician,9,1877
Campo-Corrente,Ada,Executive,SVP/CIO,10,8332
Calzas,Axel,Engineering,Hydraulic Technician,11,1321
Cocinaro,Hideki,Security,Site Control,12,7108
Ferro,Inga,Security,Site Control,13,7819
Dedos,Lidelse,Engineering,Engineering Group Manager,14,1874
Bodrogi,Loreto,Security,Site Control,15,3853
Vann,Isia,Security,Perimeter Control,16,7354
Flecha,Sven,Information Technology,IT Technician,17,7384
Frente,Birgitta,Engineering,Geologist,18,9617
Frente,Vira,Engineering,Hydraulic Technician,19,6895
Fusil,Stenig,Security,Building Control,20,6816
Osvaldo,Hennie,Security,Perimeter Control,21,9405
Nubarron,Adra,Security,Badging Office,22,1286
Lagos,Varja,Security,Badging Office,23,3484
Mies,Minke,Security,Perimeter Control,24,4434
Herrero,Kanon,Engineering,Geologist,25,2142
Onda,Marin,Engineering,Drill Site Manager,26,1310
Orilla,Kare,Engineering,Drill Technician,27,3492
Borrasca,Isande,Engineering,Drill Technician,28,9241
Ovan,Bertrand,Facilities,Facilities Group Manager,29,5921
Resumir,Felix,Security,Security Group Manager,30,6901
Sanjorge Jr.,Sten,Executive,President/CEO,31,5010
Strum,Orhan,Executive,SVP/COO,32,8156
Tempestad,Brand,Engineering,Drill Technician,33,9683
Vann,Edvard,Security,Perimeter Control,34,4795
Vasco-Pais,Willem,Executive,Environmental Safety Advisor,35,2463
Hafon,Albina,Facilities,Truck Driver,,
Hawelon,Benito,Facilities,Truck Driver,,
Hawelon,Claudio,Facilities,Truck Driver,,
Mies,Henk,Facilities,Truck Driver,,
Morlun,Valeria,Facilities,Truck Driver,,
Morlun,Adan,Facilities,Truck Driver,,
Morluniau,Cecilia,Facilities,Truck Driver,,
Nant,Irene,Facilities,Truck Driver,,
Scozzese,Dylan,Facilities,Truck Driver,,
